"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"TCGA-AR-A5QQ-01",-1.01955211162567,-1.35400998592377,0.56826114654541,0.462452054023743,-1.35420823097229,1.92239058017731,1.2162903547287,1.54127156734467,-0.931075632572174,-0.640013158321381,3.00590705871582,-1.31173634529114,0.194193854928017,0.779432654380798,0.334352403879166
"TCGA-D8-A1JA-01",1.59505498409271,-1.25572168827057,-0.749302208423615,-0.360267847776413,-0.998442649841309,-0.479058712720871,1.93813788890839,-0.451214104890823,1.65474760532379,2.07952213287354,-0.670947015285492,-1.46281003952026,-2.7223117351532,2.37501907348633,-1.473513007164
"TCGA-BH-A0BT-01",1.66476309299469,-0.350749313831329,0.790780127048492,-2.78976058959961,-0.568699598312378,-0.334250271320343,1.07384061813354,-2.11222076416016,1.04985690116882,-1.26659440994263,0.374328047037125,1.26067745685577,0.760228216648102,0.253104448318481,0.592131555080414
"TCGA-AC-A5XU-01",3.24501299858093,-0.59338903427124,0.0476119332015514,-0.185729652643204,-0.811144113540649,0.53179144859314,-1.00797975063324,0.640178143978119,0.151030868291855,0.0814659371972084,-0.280625700950623,0.464152991771698,-1.08415389060974,-0.46885558962822,0.0215148292481899
"TCGA-PE-A5DE-01",0.0103854471817613,0.762640118598938,0.31209135055542,-0.753422796726227,0.585691630840302,-0.0822571516036987,1.02055633068085,2.39985370635986,-1.57803785800934,-0.0866311937570572,-0.29558077454567,0.462509095668793,1.3580766916275,-0.877953827381134,-1.17977070808411
"TCGA-PE-A5DC-01",2.37967038154602,-0.183155074715614,0.723349928855896,-0.502336084842682,-0.324275821447372,0.922245979309082,-0.707959234714508,-0.399833351373672,-0.43058106303215,-0.674591541290283,0.577868521213531,0.534742951393127,-2.95900726318359,-0.870137333869934,-0.0288997553288937
"TCGA-AR-A0TV-01",2.50824165344238,-0.18167881667614,-1.60627746582031,1.21434223651886,-1.15663659572601,0.454823523759842,-0.536568641662598,0.231561616063118,-0.936054348945618,-1.53207671642303,-0.490797072649002,1.88216400146484,-1.9839780330658,0.407527357339859,-1.22211730480194
"TCGA-GM-A3XG-01",-2.429363489151,1.4593380689621,2.19312644004822,0.936296880245209,-1.67531180381775,0.340681254863739,-0.891738057136536,-1.07096982002258,0.527282238006592,0.99746561050415,0.635553598403931,1.60976088047028,0.623986601829529,-0.671566963195801,0.745005905628204
"TCGA-E9-A3QA-01",-2.80585384368896,-1.70248913764954,-0.181361883878708,0.449110060930252,-1.11015784740448,0.443002790212631,0.570384740829468,1.82256209850311,-0.762564778327942,-1.81551015377045,0.493713855743408,0.193386346101761,0.136783808469772,-0.012009740807116,-0.165228500962257
"TCGA-A7-A4SD-01",-2.39590191841125,-2.13910913467407,-0.24582052230835,-2.4092755317688,-1.55187690258026,-0.313777983188629,0.342060267925262,1.01377081871033,-0.733279585838318,-0.705108821392059,2.01210069656372,-0.56005722284317,-0.596294343471527,0.399136543273926,0.121550098061562
"TCGA-BH-A0HA-01",0.78922563791275,1.55487179756165,0.0233363099396229,0.560671865940094,-0.0614881962537766,-0.925966143608093,-0.119926474988461,0.954078674316406,1.96028399467468,-0.644441545009613,0.782376945018768,-0.666426599025726,1.4671334028244,-1.36926186084747,-0.277520716190338
"TCGA-AR-A5QN-01",1.81707084178925,0.0294464249163866,0.541674137115479,2.44200801849365,2.22762656211853,1.02305901050568,-0.231183543801308,0.316572189331055,0.552134871482849,0.516449213027954,0.254161536693573,-0.0153095703572035,0.334497272968292,-0.25195375084877,-0.460144966840744
"TCGA-A7-A0CH-11",-2.65657925605774,1.18855106830597,1.08173191547394,0.941129803657532,2.32777762413025,1.19209349155426,0.228850498795509,-0.40858981013298,-0.163329854607582,0.447118639945984,0.874271214008331,0.663978755474091,0.46895557641983,0.367323637008667,-0.0634506717324257
"TCGA-EW-A1OZ-01",3.12570786476135,-1.04876399040222,-1.01068556308746,0.481999218463898,0.364699631929398,0.903904676437378,0.1462542116642,-1.25237202644348,0.140025466680527,-0.415171504020691,-0.606205701828003,-0.317089051008224,0.304085999727249,-0.113571539521217,1.15823996067047
