"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"CLEC3A",0.130120992660522,0.301220417022705,0.0645607858896255,-0.0422764495015144,-0.0388673879206181,-0.0814374908804893,0.317954987287521,0.0986808091402054,-0.0369395911693573,0.344186395406723,-0.026672163978219,0.158389523625374,-0.0489554926753044,-0.0997404679656029,0.0010566912824288
"CPB1",0.129757031798363,0.565378069877625,0.150245353579521,-0.0114525472745299,-0.00104723917320371,0.057140227407217,-0.493985027074814,0.448478311300278,0.130686208605766,0.215407341718674,-0.0574516840279102,0.0502762123942375,-0.10202357172966,0.042145874351263,-0.0211000181734562
"SCGB2A2",0.0997076034545898,0.577027916908264,0.550809621810913,0.00686608999967575,0.000427154445787892,-0.077641025185585,0.260633915662766,-0.116742700338364,-0.0134014282375574,0.258809626102448,-0.0235898140817881,0.107066266238689,-0.0339007824659348,-0.137197971343994,-0.185035645961761
"SCGB1D2",0.0636219307780266,0.498663872480392,0.487441718578339,0.0133088193833828,0.00191321060992777,-0.0517364405095577,0.130708575248718,-0.0677475035190582,-0.0240445677191019,0.237792894244194,-0.0376166254281998,0.159721806645393,-0.00864326674491167,-0.145921424031258,-0.179006040096283
"TFF1",0.363773196935654,0.685820877552032,0.413909405469894,0.0121545577421784,0.026900727301836,-0.138052091002464,0.106361716985703,0.244871437549591,0.0105764102190733,0.129849284887314,-0.0296964216977358,0.194669634103775,-0.0385584309697151,-0.209869548678398,-0.0890116393566132
"MUCL1",-0.0741660967469215,0.230544060468674,0.621205687522888,-0.00508936587721109,0.0271376017481089,0.286225140094757,0.481412649154663,-0.149543970823288,0.0901544839143753,0.376408517360687,-0.0306699760258198,0.0794971287250519,0.0116217704489827,0.145593598484993,-0.0593376085162163
"GSTM1",0.00710270553827286,0.148991465568542,0.0653881952166557,0.000915059179533273,-0.000248699536314234,0.0759279355406761,0.0277975145727396,-0.00762900384142995,-0.0298380274325609,-0.0576125420629978,0.124815672636032,0.0778828039765358,0.00341038615442812,0.0200408715754747,-0.00699519226327538
"PIP",0.0163230821490288,0.582650363445282,0.384219169616699,-0.00284711294807494,-0.00272596185095608,-0.118974842131138,0.462790220975876,-0.0332114733755589,-0.237357035279274,0.54489678144455,-0.0662675499916077,0.248836502432823,0.0584316067397594,0.173900216817856,0.0321458987891674
"ADIPOQ",-0.152424201369286,0.275883734226227,0.121539071202278,-0.0275136791169643,1.03173899650574,0.187432110309601,-0.0104205003008246,-0.0755342692136765,0.00914010684937239,-0.0742161124944687,-0.130992159247398,-0.110659830272198,-0.00186723633669317,0.0601291954517365,-0.0117241879925132
"ADH1B",-0.184135213494301,0.325952887535095,0.197165280580521,-0.00708696944639087,0.940179228782654,0.242540925741196,0.0104411374777555,-0.0598810017108917,0.00648320652544498,-0.0938019528985023,-0.162756592035294,-0.0272482354193926,0.00297451880760491,0.00273711490444839,0.00680070091038942
"HMGCS2",0.0671860575675964,0.451606690883636,0.488848716020584,-0.036784466356039,0.178697034716606,0.0507738180458546,0.295987129211426,-0.151934608817101,-0.113801337778568,0.436046332120895,-0.13953872025013,0.256162524223328,0.0275424625724554,-0.0501684583723545,-0.199793428182602
"S100A7",-0.0313820503652096,-0.286222994327545,0.16013790667057,0.0407827906310558,-0.00411335052922368,-0.00346460822038352,0.604779660701752,0.0627516657114029,-0.00415442232042551,0.17051488161087,0.369812667369843,-0.115215674042702,-0.020093772560358,0.2633436024189,0.205994144082069
"CYP2B7P1",0.278773456811905,0.531086564064026,0.0164717752486467,-0.0320498794317245,0.0146189630031586,-0.185963079333305,0.090455487370491,0.0678033083677292,-0.0519086308777332,0.077418677508831,-0.119727067649364,0.142243087291718,-0.0652421116828918,-0.102587170898914,0.110501937568188
"ANKRD30A",0.166456758975983,0.644932568073273,0.241400077939034,0.11322058737278,0.0723021551966667,-0.203551486134529,0.166507765650749,-0.0436457432806492,0.0161850787699223,0.12394192814827,-0.315473586320877,-0.157300189137459,0.0471505038440228,0.0143645899370313,0.0840757414698601
"TAT",-0.0958584398031235,0.402261048555374,0.556957542896271,0.0429071001708508,0.0264004915952682,0.0541704669594765,-0.0435514263808727,0.0564759932458401,0.0103933969512582,0.260659039020538,-0.146387949585915,0.162446141242981,-0.0423045456409454,0.231545969843864,0.0301656387746334
"PRAME",-0.0909278243780136,-0.521697282791138,0.0171605367213488,-0.0126317106187344,-0.00880290474742651,-0.0632774829864502,0.0655858665704727,0.130889683961868,0.276968389749527,-0.116944156587124,0.0721563100814819,0.00839071441441774,-0.238350942730904,-0.118887916207314,-0.0171898957341909
"CYP4Z1",0.07037103921175,0.420475900173187,0.203865960240364,0.00126637693028897,0.01280886400491,-0.0724063590168953,0.566739082336426,-0.312662690877914,-0.19364133477211,0.239973083138466,-0.132867634296417,0.0393889062106609,0.105229072272778,-0.0318014472723007,-0.0308934580534697
"SERPINA6",0.0297712795436382,0.424734860658646,0.135809496045113,-0.109833180904388,0.0039204740896821,-0.121858403086662,-0.148027792572975,0.248509585857391,0.0255129616707563,0.182934775948524,0.0189821682870388,0.140884578227997,-0.063827320933342,0.0874089673161507,0.00256170984357595
"AGR3",0.382985472679138,0.695488214492798,0.319493889808655,0.00275205890648067,0.00824321433901787,-0.132305294275284,-0.0287659782916307,0.133381515741348,-0.00605643913149834,-0.0223523490130901,-0.0502252690494061,0.0807342305779457,-0.0773224234580994,-0.133767306804657,-0.082175999879837
"UGT2B11",-0.0438619405031204,0.347295343875885,0.206832990050316,0.00761805102229118,-0.0825138464570045,0.0320363156497478,0.317352712154388,-0.1006118953228,0.00327408942393959,0.423491597175598,-0.0671596303582191,-0.0513756573200226,0.130306765437126,0.0504010915756226,-0.144878283143044
"TFAP2B",0.0216028615832329,0.2810138463974,0.451631039381027,0.0854600816965103,0.0412704646587372,-0.109753467142582,0.520753800868988,-0.368689686059952,-0.049155455082655,0.0968757942318916,-0.183409690856934,-0.00925995502620935,0.0263129249215126,-0.0178162772208452,0.194614559412003
"MUC6",-0.0721556544303894,0.275887101888657,0.394021928310394,-0.01282056607306,0.00792569853365421,-0.0249214358627796,0.158246323466301,-0.092185340821743,0.0790488198399544,0.111352115869522,-0.109711557626724,0.252660602331161,-0.131629332900047,0.0507425330579281,0.11549162119627
"KCNJ3",0.256107985973358,0.388002038002014,0.00421041483059525,-0.138511925935745,0.00072366779204458,-0.0563885681331158,-0.290179252624512,0.387223422527313,-0.00404136627912521,0.0494786947965622,-0.184343665838242,-0.112541422247887,0.0045837014913559,0.140831395983696,-0.115016408264637
