"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"rs5987737",0.00178600382059813,0.0551820024847984,-0.00418696226552129,0.0162654370069504,0.000753341533709317,-0.053045429289341,0.0369016118347645,0.00501041021198034,0.000424099358497187,0.0403518043458462,-0.0948779359459877,-0.107201479375362,-0.00986290164291859,0.0125520182773471,-0.0325482077896595
"rs133860",0.034456554800272,0.085904560983181,0.00413908064365387,-0.0175083857029676,0.0238180160522461,-0.061357606202364,-0.015630817040801,-0.0201274901628494,0.00309842056594789,0.0872606411576271,-0.0978833064436913,-0.111398302018642,-0.0656244158744812,0.030056269839406,-0.0586761794984341
"rs798149",0.00713374465703964,-0.040541086345911,0.0026779945474118,0.00836885720491409,-0.0114732692018151,0.018798440694809,0.0334559939801693,0.033188458532095,0.0448339432477951,-0.0028776372782886,0.00688291015103459,0.0325439423322678,-0.0080923568457365,0.0215134639292955,0.00779149914160371
"rs213028",0.0232721026986837,-0.13591094315052,0.00821011140942574,-0.0172989219427109,-0.00654507242143154,0.0105555821210146,0.0157128013670444,0.0429397635161877,-0.00621900148689747,-0.00679778819903731,0.0712003856897354,0.112507224082947,0.0319383963942528,-0.04654436185956,-0.0013854707358405
"rs1416770",0.0199115239083767,-0.0151167288422585,0.00634517800062895,-0.00674299523234367,-0.000450800056569278,0.0366770066320896,0.00168061931617558,0.0190263465046883,-0.0106242997571826,0.0135680949315429,0.0203803516924381,0.00140558497514576,0.0119989914819598,-0.00788250379264355,0.0384521484375
"rs10846239",-0.00840095058083534,-0.155540108680725,-0.00403089541941881,-0.00291537493467331,-0.0173224341124296,0.0194910559803247,-0.0159559603780508,0.0490881651639938,-0.0204500872641802,-0.0677574127912521,0.0844743326306343,0.150942072272301,0.00402777455747128,-0.0423758327960968,0.0214751288294792
"rs472920",-0.0160332545638084,0.0815974622964859,0.00410840008407831,-0.00771571416407824,0.00161009619478136,-0.0116448104381561,0.0114815747365355,0.0403345003724098,0.00914196763187647,0.0178707260638475,-0.00342325470410287,-0.0132124405354261,0.00625222595408559,0.0521780252456665,-0.0169884525239468
"cg16620382",0.471825063228607,-0.17958165705204,1.9159651856171e-05,0.109015643596649,0.00546589028090239,0.111642025411129,0.0133875831961632,-0.000582879700232297,-0.187659025192261,0.0449072048068047,-0.0078930426388979,-0.0036533810198307,0.100086554884911,0.0472740158438683,-0.0110561177134514
"rs1510189",-0.00357700861059129,0.000346647022524849,0.00584560306742787,-0.0341707319021225,-0.0127763273194432,-0.0185386054217815,0.00780166080221534,-0.00961015466600657,-0.0246488489210606,-0.0257843416184187,0.0186907406896353,-0.000638274301309139,-0.0294620487838984,-0.00514803826808929,0.0128941079601645
"cg11738485",0.115782536566257,0.0911889597773552,-0.0353551656007767,0.00632402068004012,0.00978186447173357,-0.0474408119916916,0.0515465773642063,-0.089726448059082,-0.0260524544864893,0.000769436941482127,0.00924278981983662,-0.0483084209263325,0.105882972478867,-0.0202067345380783,0.00940836779773235
"cg27363327",0.468576908111572,-0.181082159280777,-0.000180745584657416,0.113638296723366,0.0103153018280864,0.171567752957344,0.0313573814928532,-0.00309398886747658,-0.171939969062805,0.0814550668001175,0.00120115582831204,-0.00875274091959,0.0901418700814247,0.0378769710659981,-0.00444266572594643
"rs3936238",0.00413978612050414,-0.111733824014664,-0.000440419127698988,-0.0230170544236898,-0.00699027488008142,-0.00204850640147924,-0.0038399004843086,0.0258410107344389,0.000112838140921667,-0.0307852756232023,0.0532645583152771,0.0412706695497036,0.0333457812666893,0.0120650185272098,0.0356375612318516
"rs2857639",-0.0172845646739006,0.0654920414090157,-0.0044879992492497,-0.0520220994949341,0.00495823845267296,0.0169863142073154,0.000689271895680577,0.00712740747258067,0.0152227059006691,-0.0154640497639775,-0.0133241713047028,-0.0903885364532471,-0.0485844910144806,0.0276034139096737,0.026216009631753
"rs1484127",-0.0110563011839986,0.0777368992567062,-0.0117837684229016,0.0435463152825832,0.0276814326643944,-0.000578312785364687,0.0171804782003164,-0.0542010478675365,-0.00409854063764215,0.0216379631310701,-0.0578503273427486,-0.0948484167456627,0.055466003715992,0.0152308698743582,-0.0144260181114078
"rs2385226",-0.00798404775559902,0.0895825326442719,-0.0100896013900638,-0.00504266005009413,-0.00588436238467693,0.0109050180763006,0.0661929100751877,0.00104399444535375,0.00366560299880803,0.00644177757203579,-0.0328070521354675,-0.00421627564355731,-0.0047763530164957,0.0147821204736829,0.0189922507852316
"cg01682111",0.156807422637939,0.453350394964218,-0.00607820181176066,0.0832151994109154,0.0220471285283566,-0.164077058434486,0.0213249139487743,-0.0435111746191978,-0.194782227277756,-0.11931162327528,0.0704352706670761,-0.0103278085589409,0.406407594680786,-0.0354899689555168,-0.00906451232731342
"rs1495031",0.00705396663397551,-0.0564656816422939,0.010286221280694,-0.0772742182016373,-0.0158582627773285,-0.00970755331218243,-0.0140847656875849,-0.0120842959731817,-0.0401414930820465,-0.0438044145703316,-0.00746455835178494,0.0161678083240986,0.0259810909628868,0.00973235350102186,-0.0174360200762749
"rs5931272",-0.00638952339068055,0.0511668734252453,-0.0393577963113785,-0.0215425901114941,0.00115397688932717,-0.0195817109197378,0.066074825823307,0.00280924886465073,-0.0282848365604877,0.00390922371298075,0.00263361167162657,-0.0247656796127558,0.0325161665678024,0.00812821835279465,-0.0449330136179924
"rs6991394",-0.00492500141263008,-0.162039488554001,0.00433417689055204,-0.0366493090987206,-0.00452813506126404,0.015692338347435,-0.00891695823520422,0.0228487830609083,-0.0385666638612747,-0.058539267629385,0.082532100379467,0.127976149320602,0.00622854707762599,-0.0132564706727862,0.00693670706823468
